ID,colony_of_origin,treatment,l_index.x,w_index.x
1,comte,iso,0.284528149,0.121101661
2,comte,group,NA,0.168334058
6,comte,iso,0.242781155,0.119490881
7,comte,iso,0.323874257,0.130501274
11,comte,group,NA,0.11462647
12,comte,iso,0.244675582,0.116559353
16,manchego,group,0.273481781,0.121659919
17,manchego,iso,0.318312906,0.21629416
19,manchego,group,0.276469462,0.148765078
22,manchego,iso,0.215928861,0.110960758
25,manchego,group,NA,0.10915493
27,manchego,iso,0.265396544,0.100575986
28,ec,group,NA,0.157439052
35,ec,group,0.34010046,0.163876099
36,ec,iso,0.21299059,0.089281616
37,ec,group,0.251240325,0.153205001
41,ec,iso,0.186663923,0.067915209
42,ec,iso,0.187567451,0.095186704
44,comte,group,0.31645817,0.154026583
47,comte,iso,0.206135511,0.097770911
48,comte,iso,0.182484725,0.076782077
49,manchego,group,0.231151933,0.119785687
53,manchego,iso,0.235721528,0.120817844
54,manchego,group,0.433281005,0.21978022
60,comte,group,0.2402258,0.115826887
